B7~B3~2
B7~B6~2
B7~B5~0
B7~B4~3
B7~B1~4
B7~B2~4
B3~B7~2
B3~B6~1
B3~B5~0
B3~B4~1
B3~B1~4
B3~B2~1
B6~B7~2
B6~B3~1
B6~B5~1
B6~B4~2
B6~B1~4
B6~B2~5
B5~B7~0
B5~B3~0
B5~B6~1
B5~B4~0
B5~B1~2
B5~B2~2
B4~B7~3
B4~B3~1
B4~B6~2
B4~B5~0
B4~B1~3
B4~B2~3
B1~B7~4
B1~B3~4
B1~B6~4
B1~B5~2
B1~B4~3
B1~B2~3
B2~B7~4
B2~B3~1
B2~B6~5
B2~B5~2
B2~B4~3
B2~B1~3
