B3~B7~0
B3~B5~1
B3~B2~1
B3~B6~0
B7~B3~3
B7~B5~1
B7~B2~5
B7~B6~3
B5~B3~7
B5~B7~2
B5~B2~7
B5~B6~4
B4~B3~1
B4~B7~0
B4~B5~0
B4~B2~2
B4~B6~0
B2~B3~1
B2~B7~2
B2~B5~1
B2~B6~0
B6~B3~2
B6~B7~4
B6~B5~2
B6~B2~4
B1~B3~6
B1~B7~4
B1~B5~5
B1~B2~11
B1~B6~5
