issue_id,topic_ngram
B7,incorrect_default_cron
B7,default_cron_express
B7,cron_express_snapshot
B7,express_snapshot_repositori
B7,snapshot_repositori_valid
B7,repositori_valid_valu
B7,valid_valu_probabl
B7,valu_probabl_releas
B4,default_configur_proxi
B4,configur_proxi_central
B4,proxi_central_repo
B4,central_repo_fail
B4,repo_fail_pre
B4,fail_pre_download
B4,pre_download_polici
B4,download_polici_test
B4,polici_test_fix
B4,test_fix_mrm-370
B4,fix_mrm-370_rm
B4,mrm-370_rm_-rf
B4,rm_-rf_$
B4,-rf_$_m2_repo
B4,$_m2_repo_org
B4,m2_repo_org_apach
B4,org_apach_maven
B4,apach_maven_plugin
B4,maven_plugin_maven
B4,plugin_maven_clean
B4,maven_clean_plugincd
B4,clean_plugincd_/path
B4,plugincd_/path_projectmvn
B4,/path_projectmvn_cleani
B4,projectmvn_cleani_usual
B4,cleani_usual_find
B4,usual_find_valid
B4,find_valid_version
B4,valid_version_messag
B4,version_messag_archiva
B4,messag_archiva_log
B4,archiva_log_jvm
B4,log_jvm_|
B4,jvm_|_06:25:29,796
B4,|_06:25:29,796_socketlistener0
B4,06:25:29,796_socketlistener0_info
B4,socketlistener0_info_org.apache.maven.archiva.proxy.repositoryproxyconnector
B4,info_org.apache.maven.archiva.proxy.repositoryproxyconnector_default
B4,org.apache.maven.archiva.proxy.repositoryproxyconnector_default_fail
B4,default_fail_pre
B4,download_polici_-c:\${appserver.home}\repositories\internal\org\apache\maven\plugins\maven
B4,polici_-c:\${appserver.home}\repositories\internal\org\apache\maven\plugins\maven_clean
B4,-c:\${appserver.home}\repositories\internal\org\apache\maven\plugins\maven_clean_plugin\maven
B4,clean_plugin\maven_metadata.xmlther
B4,plugin\maven_metadata.xmlther_whitelist
B4,metadata.xmlther_whitelist_pattern
B4,whitelist_pattern_intern
B4,pattern_intern_>
B4,intern_>_central
B4,>_central_proxi
B4,central_proxi_connector
B4,proxi_connector_ship
B4,connector_ship_configur
B4,ship_configur_actual
B4,configur_actual_make
B4,actual_make_proxi
B4,make_proxi_add
B4,proxi_add_whitelist
B4,add_whitelist_pattern
B4,whitelist_pattern_work.should
B4,pattern_work.should_absenc
B4,work.should_absenc_whitelist
B4,absenc_whitelist_pattern
B4,whitelist_pattern_mean
B4,pattern_mean_proxi
B5,mysql_specifi_key
B5,specifi_key_long
B5,key_long_max
B5,long_max_key
B5,max_key_length
B5,key_length_byte
B5,length_byte_start
B5,byte_start_archiva
B5,start_archiva_mysql
B5,archiva_mysql_databas
B5,mysql_databas_follow
B5,databas_follow_error
B5,follow_error_seen.{code}caus
B5,error_seen.{code}caus_javax.jdo.jdodatastoreexcept
B5,seen.{code}caus_javax.jdo.jdodatastoreexcept_except
B5,javax.jdo.jdodatastoreexcept_except_throw
B5,except_throw_add
B5,throw_add_valid
B5,add_valid_class(
B5,valid_class(_specifi
B5,class(_specifi_key
B5,key_length_bytescom.mysql.jdbc.exceptions.mysqlsyntaxerrorexcept
B5,length_bytescom.mysql.jdbc.exceptions.mysqlsyntaxerrorexcept_specifi
B5,bytescom.mysql.jdbc.exceptions.mysqlsyntaxerrorexcept_specifi_key
B5,length_byte_com.mysql.jdbc.sqlerror.createsqlexception(sqlerror.java:936
B5,byte_com.mysql.jdbc.sqlerror.createsqlexception(sqlerror.java:936_com.mysql.jdbc.mysqlio.checkerrorpacket(mysqlio.java:2870
B5,com.mysql.jdbc.sqlerror.createsqlexception(sqlerror.java:936_com.mysql.jdbc.mysqlio.checkerrorpacket(mysqlio.java:2870_com.mysql.jdbc.mysqlio.sendcommand(mysqlio.java:1573
B5,com.mysql.jdbc.mysqlio.checkerrorpacket(mysqlio.java:2870_com.mysql.jdbc.mysqlio.sendcommand(mysqlio.java:1573_com.mysql.jdbc.mysqlio.sqlquerydirect(mysqlio.java:1665
B5,com.mysql.jdbc.mysqlio.sendcommand(mysqlio.java:1573_com.mysql.jdbc.mysqlio.sqlquerydirect(mysqlio.java:1665_com.mysql.jdbc.connection.execsql(connection.java:3170
B5,com.mysql.jdbc.mysqlio.sqlquerydirect(mysqlio.java:1665_com.mysql.jdbc.connection.execsql(connection.java:3170_com.mysql.jdbc.connection.execsql(connection.java:3099
B5,com.mysql.jdbc.connection.execsql(connection.java:3170_com.mysql.jdbc.connection.execsql(connection.java:3099_com.mysql.jdbc.statement.execute(statement.java:695
B5,com.mysql.jdbc.connection.execsql(connection.java:3099_com.mysql.jdbc.statement.execute(statement.java:695_org.jpox.store.rdbms.table.abstracttable.executeddlstatement(abstracttable.java:614
B5,com.mysql.jdbc.statement.execute(statement.java:695_org.jpox.store.rdbms.table.abstracttable.executeddlstatement(abstracttable.java:614_org.jpox.store.rdbms.table.abstracttable.executeddlstatementlist(abstracttable.java:570
B5,org.jpox.store.rdbms.table.abstracttable.executeddlstatement(abstracttable.java:614_org.jpox.store.rdbms.table.abstracttable.executeddlstatementlist(abstracttable.java:570_org.jpox.store.rdbms.table.abstracttable.create(abstracttable.java:297
B5,org.jpox.store.rdbms.table.abstracttable.executeddlstatementlist(abstracttable.java:570_org.jpox.store.rdbms.table.abstracttable.create(abstracttable.java:297_org.jpox.store.rdbms.table.abstracttable.exists(abstracttable.java:341
B5,org.jpox.store.rdbms.table.abstracttable.create(abstracttable.java:297_org.jpox.store.rdbms.table.abstracttable.exists(abstracttable.java:341_org.jpox.store.rdbms.rdbmsmanager$classadder.performtablesvalidation(rdbmsmanager.java:3052
