B2~B6~2
B2~B7~1
B2~B3~2
B2~B5~1
B6~B2~2
B6~B7~2
B6~B3~4
B6~B5~2
B7~B2~1
B7~B6~2
B7~B3~2
B7~B5~1
B3~B2~2
B3~B6~4
B3~B7~2
B3~B5~2
B5~B2~1
B5~B6~2
B5~B7~1
B5~B3~2
