B2~B6~8
B2~B7~11
B2~B3~4
B2~B4~1
B2~B1~6
B2~B5~10
B6~B2~3
B6~B7~5
B6~B3~2
B6~B4~0
B6~B1~6
B6~B5~5
B7~B2~5
B7~B6~6
B7~B3~1
B7~B4~1
B7~B1~6
B7~B5~7
B3~B2~1
B3~B6~1
B3~B7~2
B3~B4~1
B3~B1~4
B3~B5~5
B4~B2~4
B4~B6~6
B4~B7~5
B4~B3~1
B4~B1~4
B4~B5~4
B1~B2~2
B1~B6~5
B1~B7~4
B1~B3~1
B1~B4~1
B1~B5~10
B5~B2~1
B5~B6~2
B5~B7~0
B5~B3~1
B5~B4~0
B5~B1~3
