B4~B3~3
B4~B5~11
B4~B2~11
B4~B1~1
B4~B6~3
B4~B7~2
B3~B4~3
B3~B5~3
B3~B2~2
B3~B6~1
B3~B7~1
B5~B4~11
B5~B3~3
B5~B2~10
B5~B1~6
B5~B6~4
B5~B7~4
B2~B4~11
B2~B3~2
B2~B5~10
B2~B1~2
B2~B6~2
B2~B7~5
B1~B4~1
B1~B5~6
B1~B2~2
B1~B7~1
B6~B4~3
B6~B3~1
B6~B5~4
B6~B2~2
B7~B4~2
B7~B3~1
B7~B5~4
B7~B2~5
B7~B1~1
