B1~B4~2
B1~B7~7
B1~B2~9
B1~B3~3
B1~B5~13
B1~B6~11
B4~B1~2
B4~B7~1
B4~B2~1
B4~B3~0
B4~B5~3
B4~B6~0
B7~B1~7
B7~B4~1
B7~B2~9
B7~B3~3
B7~B5~11
B7~B6~10
B2~B1~9
B2~B4~1
B2~B7~9
B2~B3~3
B2~B5~8
B2~B6~11
B3~B1~3
B3~B4~0
B3~B7~3
B3~B2~3
B3~B5~3
B3~B6~3
B5~B1~13
B5~B4~3
B5~B7~11
B5~B2~8
B5~B3~3
B5~B6~7
B6~B1~11
B6~B4~0
B6~B7~10
B6~B2~11
B6~B3~3
B6~B5~7
